Description,Category,Finance Type
Paid ₹3414.77 to Amazon,Shopping,Spend
UPI payment of ₹8095.86 to Amazon,Shopping,Spend
UPI payment of ₹9646.86 to TCS,Paycheck,Spend
Credited ₹8358.79 from Amazon,Shopping,Receive
Debited ₹3325.9 at Flipkart,Shopping,Spend
Credited ₹1072.51 from Gas Agency,Utilities,Receive
Received ₹621.01 from TCS,Paycheck,Receive
Paid ₹5649.09 to Society,Rent,Spend
₹6337.24 received via UPI from Flatmate,Rent,Receive
Received ₹9204.41 from Gas Agency,Utilities,Receive
₹8727.96 received via UPI from Flipkart,Shopping,Receive
Received ₹4823.13 from Landlord,Rent,Receive
Debited ₹8085.83 at Electric Board,Utilities,Spend
Credited ₹7682.98 from Wipro,Paycheck,Receive
Paid ₹7209.85 to Myntra,Shopping,Spend
Received ₹6424.48 from Swiggy,Restaurants,Receive
₹8607.42 received via UPI from Landlord,Rent,Receive
Paid ₹2441.14 to Flatmate,Rent,Spend
₹1925.27 received via UPI from Flatmate,Rent,Receive
UPI payment of ₹7462.95 to Swiggy,Restaurants,Spend
UPI payment of ₹2573.17 to Gas Agency,Utilities,Spend
₹8105.17 received via UPI from Society,Rent,Receive
Credited ₹5671.15 from Society,Rent,Receive
UPI payment of ₹8889.78 to KFC,Restaurants,Spend
UPI payment of ₹633.43 to Water Dept,Utilities,Spend
Received ₹2687.88 from Electric Board,Utilities,Receive
UPI payment of ₹8671.24 to Swiggy,Restaurants,Spend
Debited ₹3680.49 at TCS,Paycheck,Spend
Received ₹3763.97 from KFC,Restaurants,Receive
Credited ₹7559.89 from Flipkart,Shopping,Receive
Debited ₹292.41 at Gas Agency,Utilities,Spend
Paid ₹4721.82 to KFC,Restaurants,Spend
Paid ₹4754.35 to Flipkart,Shopping,Spend
Credited ₹4815.56 from Domino's,Restaurants,Receive
Paid ₹6303.83 to Flatmate,Rent,Spend
Received ₹7857.91 from Domino's,Restaurants,Receive
UPI payment of ₹3749.62 to Flatmate,Rent,Spend
Debited ₹7066.24 at Landlord,Rent,Spend
Received ₹725.78 from Electric Board,Utilities,Receive
Received ₹5671.69 from Amazon,Shopping,Receive
Credited ₹8930.68 from Domino's,Restaurants,Receive
Credited ₹1643.38 from Society,Rent,Receive
Received ₹4006.79 from Flatmate,Rent,Receive
Paid ₹7214.53 to Infosys,Paycheck,Spend
Credited ₹8114.39 from Wipro,Paycheck,Receive
Received ₹9028.48 from Flatmate,Rent,Receive
Paid ₹2644.98 to Water Dept,Utilities,Spend
Received ₹3175.49 from Amazon,Shopping,Receive
Debited ₹1443.58 at Landlord,Rent,Spend
UPI payment of ₹5671.23 to TCS,Paycheck,Spend
Received ₹2832.51 from Domino's,Restaurants,Receive
Debited ₹2455.79 at Flatmate,Rent,Spend
Received ₹9919.5 from Infosys,Paycheck,Receive
Paid ₹1663.36 to Society,Rent,Spend
UPI payment of ₹8102.87 to Amazon,Shopping,Spend
Debited ₹4264.35 at Infosys,Paycheck,Spend
UPI payment of ₹9365.26 to Flatmate,Rent,Spend
₹2458.56 received via UPI from Myntra,Shopping,Receive
Credited ₹2474.31 from Water Dept,Utilities,Receive
Paid ₹4923.05 to Electric Board,Utilities,Spend
Paid ₹1194.41 to Swiggy,Restaurants,Spend
Credited ₹455.96 from Landlord,Rent,Receive
Credited ₹1931.72 from Wipro,Paycheck,Receive
Credited ₹4389.42 from Infosys,Paycheck,Receive
Received ₹2876.18 from Wipro,Paycheck,Receive
Received ₹4305.94 from Electric Board,Utilities,Receive
Paid ₹9031.08 to Water Dept,Utilities,Spend
Credited ₹7263.47 from KFC,Restaurants,Receive
Debited ₹2478.12 at Amazon,Shopping,Spend
Paid ₹1364.25 to Landlord,Rent,Spend
₹7733.39 received via UPI from Flatmate,Rent,Receive
UPI payment of ₹9725.73 to Landlord,Rent,Spend
UPI payment of ₹9774.54 to Domino's,Restaurants,Spend
₹6964.43 received via UPI from Swiggy,Restaurants,Receive
₹1321.04 received via UPI from Water Dept,Utilities,Receive
₹1251.46 received via UPI from Domino's,Restaurants,Receive
Debited ₹536.08 at Swiggy,Restaurants,Spend
₹6078.9 received via UPI from Gas Agency,Utilities,Receive
UPI payment of ₹1111.4 to Electric Board,Utilities,Spend
₹8497.24 received via UPI from Landlord,Rent,Receive
Debited ₹3256.0 at Gas Agency,Utilities,Spend
Paid ₹5919.61 to TCS,Paycheck,Spend
Received ₹632.55 from Flatmate,Rent,Receive
Paid ₹3100.88 to Flipkart,Shopping,Spend
Credited ₹9018.45 from Flipkart,Shopping,Receive
Received ₹4464.63 from Flatmate,Rent,Receive
₹5004.6 received via UPI from Flatmate,Rent,Receive
Paid ₹8531.9 to Amazon,Shopping,Spend
Debited ₹2493.97 at Domino's,Restaurants,Spend
UPI payment of ₹3364.24 to Flatmate,Rent,Spend
Credited ₹7210.72 from Amazon,Shopping,Receive
Credited ₹4391.95 from Swiggy,Restaurants,Receive
₹9352.17 received via UPI from Water Dept,Utilities,Receive
Received ₹6283.72 from Infosys,Paycheck,Receive
Debited ₹8606.36 at KFC,Restaurants,Spend
₹810.18 received via UPI from Society,Rent,Receive
Received ₹4101.26 from Myntra,Shopping,Receive
Received ₹9083.93 from Flipkart,Shopping,Receive
Received ₹5398.15 from Wipro,Paycheck,Receive
Paid ₹9826.03 to Flipkart,Shopping,Spend
₹5997.35 received via UPI from Infosys,Paycheck,Receive
Received ₹8261.59 from Infosys,Paycheck,Receive
₹4327.11 received via UPI from Myntra,Shopping,Receive
Debited ₹769.36 at Myntra,Shopping,Spend
Received ₹4772.45 from Infosys,Paycheck,Receive
Paid ₹9349.33 to Water Dept,Utilities,Spend
Credited ₹6219.27 from Domino's,Restaurants,Receive
₹8913.52 received via UPI from Society,Rent,Receive
UPI payment of ₹422.38 to Domino's,Restaurants,Spend
Paid ₹6158.92 to Society,Rent,Spend
Received ₹707.26 from TCS,Paycheck,Receive
Debited ₹8299.19 at Infosys,Paycheck,Spend
UPI payment of ₹2028.18 to Wipro,Paycheck,Spend
Credited ₹8753.16 from Swiggy,Restaurants,Receive
Received ₹7894.85 from KFC,Restaurants,Receive
UPI payment of ₹2128.66 to Flipkart,Shopping,Spend
Received ₹7960.38 from Landlord,Rent,Receive
Paid ₹881.41 to Flipkart,Shopping,Spend
Debited ₹5295.29 at Electric Board,Utilities,Spend
Received ₹1827.1 from Flatmate,Rent,Receive
₹1143.2 received via UPI from Amazon,Shopping,Receive
Debited ₹8599.82 at Swiggy,Restaurants,Spend
Credited ₹3165.07 from Myntra,Shopping,Receive
Credited ₹6508.62 from Gas Agency,Utilities,Receive
Credited ₹113.31 from Flipkart,Shopping,Receive
UPI payment of ₹9094.08 to TCS,Paycheck,Spend
₹9242.9 received via UPI from Flatmate,Rent,Receive
Credited ₹2081.05 from Electric Board,Utilities,Receive
₹6902.17 received via UPI from Flatmate,Rent,Receive
₹4736.48 received via UPI from Flipkart,Shopping,Receive
Credited ₹2480.72 from TCS,Paycheck,Receive
Paid ₹2821.78 to Landlord,Rent,Spend
₹3607.14 received via UPI from Swiggy,Restaurants,Receive
UPI payment of ₹6723.31 to Society,Rent,Spend
UPI payment of ₹961.78 to Wipro,Paycheck,Spend
Received ₹7180.57 from Domino's,Restaurants,Receive
Received ₹3474.25 from Myntra,Shopping,Receive
₹7178.48 received via UPI from Water Dept,Utilities,Receive
Credited ₹3752.43 from Water Dept,Utilities,Receive
Paid ₹1678.31 to Flipkart,Shopping,Spend
₹4411.83 received via UPI from Flatmate,Rent,Receive
UPI payment of ₹8721.16 to Swiggy,Restaurants,Spend
UPI payment of ₹9571.56 to Flatmate,Rent,Spend
Received ₹8730.57 from TCS,Paycheck,Receive
Received ₹1583.36 from Domino's,Restaurants,Receive
Credited ₹9647.44 from Water Dept,Utilities,Receive
UPI payment of ₹3539.16 to Infosys,Paycheck,Spend
UPI payment of ₹6696.69 to Flipkart,Shopping,Spend
₹2772.57 received via UPI from Myntra,Shopping,Receive
₹6752.67 received via UPI from TCS,Paycheck,Receive
Credited ₹7404.19 from Flipkart,Shopping,Receive
Credited ₹9150.02 from Amazon,Shopping,Receive
UPI payment of ₹4592.54 to Amazon,Shopping,Spend
UPI payment of ₹9384.33 to Water Dept,Utilities,Spend
Paid ₹2960.31 to Gas Agency,Utilities,Spend
UPI payment of ₹2499.42 to KFC,Restaurants,Spend
₹1670.0 received via UPI from Amazon,Shopping,Receive
Received ₹8089.35 from Amazon,Shopping,Receive
Debited ₹3878.03 at TCS,Paycheck,Spend
₹5160.66 received via UPI from Infosys,Paycheck,Receive
Credited ₹3555.64 from Wipro,Paycheck,Receive
Paid ₹9198.19 to Flipkart,Shopping,Spend
UPI payment of ₹8998.62 to Flatmate,Rent,Spend
₹6605.15 received via UPI from Gas Agency,Utilities,Receive
Credited ₹6359.13 from Electric Board,Utilities,Receive
UPI payment of ₹4981.89 to Domino's,Restaurants,Spend
₹910.11 received via UPI from Electric Board,Utilities,Receive
Credited ₹3231.25 from TCS,Paycheck,Receive
Debited ₹2280.36 at Water Dept,Utilities,Spend
UPI payment of ₹2781.18 to Swiggy,Restaurants,Spend
₹3671.0 received via UPI from Infosys,Paycheck,Receive
Received ₹9342.47 from Electric Board,Utilities,Receive
Debited ₹4404.26 at Domino's,Restaurants,Spend
Credited ₹9136.38 from Gas Agency,Utilities,Receive
₹4665.56 received via UPI from Domino's,Restaurants,Receive
Credited ₹3066.99 from Myntra,Shopping,Receive
Paid ₹5522.51 to Domino's,Restaurants,Spend
Paid ₹4019.32 to Water Dept,Utilities,Spend
UPI payment of ₹4418.49 to Society,Rent,Spend
Debited ₹1085.17 at Swiggy,Restaurants,Spend
₹5387.81 received via UPI from Gas Agency,Utilities,Receive
Credited ₹1844.59 from Gas Agency,Utilities,Receive
Received ₹6040.16 from Electric Board,Utilities,Receive
₹6542.99 received via UPI from Flipkart,Shopping,Receive
Received ₹7267.46 from TCS,Paycheck,Receive
Paid ₹5953.06 to Flipkart,Shopping,Spend
Credited ₹3302.12 from Society,Rent,Receive
₹1480.31 received via UPI from Electric Board,Utilities,Receive
Received ₹8630.3 from Landlord,Rent,Receive
Paid ₹4414.66 to Flatmate,Rent,Spend
Received ₹8983.9 from Amazon,Shopping,Receive
₹5525.66 received via UPI from Domino's,Restaurants,Receive
₹7683.05 received via UPI from Swiggy,Restaurants,Receive
Debited ₹3169.48 at Society,Rent,Spend
Received ₹5129.88 from TCS,Paycheck,Receive
Credited ₹9347.07 from Infosys,Paycheck,Receive
Paid ₹453.54 to Amazon,Shopping,Spend
Debited ₹2262.85 at Swiggy,Restaurants,Spend
Debited ₹3536.96 at Swiggy,Restaurants,Spend
UPI payment of ₹2888.53 to Infosys,Paycheck,Spend
Credited ₹2695.94 from Gas Agency,Utilities,Receive
₹1272.02 received via UPI from KFC,Restaurants,Receive
Credited ₹3349.58 from TCS,Paycheck,Receive
Paid ₹9847.03 to Amazon,Shopping,Spend
Paid ₹9431.85 to Landlord,Rent,Spend
Received ₹8200.94 from Water Dept,Utilities,Receive
₹6653.38 received via UPI from Landlord,Rent,Receive
Credited ₹3042.64 from Water Dept,Utilities,Receive
Credited ₹2644.33 from Myntra,Shopping,Receive
Credited ₹3263.33 from Myntra,Shopping,Receive
Credited ₹9644.18 from Electric Board,Utilities,Receive
₹1726.53 received via UPI from Myntra,Shopping,Receive
Received ₹6254.91 from Electric Board,Utilities,Receive
₹5849.91 received via UPI from Flatmate,Rent,Receive
Received ₹3526.01 from Swiggy,Restaurants,Receive
UPI payment of ₹5601.45 to Gas Agency,Utilities,Spend
Received ₹2023.09 from Amazon,Shopping,Receive
Paid ₹1427.12 to Water Dept,Utilities,Spend
₹8814.01 received via UPI from Electric Board,Utilities,Receive
Debited ₹2350.31 at Wipro,Paycheck,Spend
₹6278.16 received via UPI from Society,Rent,Receive
Received ₹1674.47 from Gas Agency,Utilities,Receive
Debited ₹8001.95 at Society,Rent,Spend
Debited ₹5389.79 at Myntra,Shopping,Spend
Received ₹9991.42 from Domino's,Restaurants,Receive
Paid ₹4738.48 to Flatmate,Rent,Spend
₹8364.24 received via UPI from Amazon,Shopping,Receive
Paid ₹5087.66 to Infosys,Paycheck,Spend
Received ₹9265.55 from TCS,Paycheck,Receive
Paid ₹3468.86 to Society,Rent,Spend
₹2363.04 received via UPI from Wipro,Paycheck,Receive
Received ₹4926.83 from Society,Rent,Receive
Received ₹9057.98 from Water Dept,Utilities,Receive
Received ₹5450.12 from Landlord,Rent,Receive
Paid ₹2140.89 to Swiggy,Restaurants,Spend
Debited ₹7922.71 at Wipro,Paycheck,Spend
₹8075.38 received via UPI from Water Dept,Utilities,Receive
Received ₹7598.88 from Water Dept,Utilities,Receive
Debited ₹9870.99 at Amazon,Shopping,Spend
Paid ₹4364.16 to Flatmate,Rent,Spend
Credited ₹9501.53 from Society,Rent,Receive
Credited ₹9798.53 from Flatmate,Rent,Receive
UPI payment of ₹1305.76 to Flipkart,Shopping,Spend
Credited ₹1050.35 from TCS,Paycheck,Receive
Credited ₹5888.24 from Amazon,Shopping,Receive
Credited ₹3691.95 from Myntra,Shopping,Receive
Debited ₹402.4 at Domino's,Restaurants,Spend
₹514.56 received via UPI from Infosys,Paycheck,Receive
UPI payment of ₹6742.17 to KFC,Restaurants,Spend
Credited ₹4265.82 from Myntra,Shopping,Receive
₹1796.13 received via UPI from Wipro,Paycheck,Receive
UPI payment of ₹1004.81 to Gas Agency,Utilities,Spend
Credited ₹8898.54 from Amazon,Shopping,Receive
UPI payment of ₹6623.39 to Electric Board,Utilities,Spend
Paid ₹6040.58 to Society,Rent,Spend
Credited ₹3302.41 from Society,Rent,Receive
UPI payment of ₹7556.89 to Water Dept,Utilities,Spend
UPI payment of ₹7931.38 to Water Dept,Utilities,Spend
Received ₹6106.04 from Wipro,Paycheck,Receive
Received ₹6244.61 from Infosys,Paycheck,Receive
Credited ₹2334.65 from TCS,Paycheck,Receive
Received ₹7153.75 from TCS,Paycheck,Receive
Debited ₹9260.19 at TCS,Paycheck,Spend
Debited ₹3428.37 at Wipro,Paycheck,Spend
Debited ₹4492.94 at Flatmate,Rent,Spend
Received ₹9696.99 from Society,Rent,Receive
UPI payment of ₹9711.31 to Infosys,Paycheck,Spend
₹6724.39 received via UPI from Flipkart,Shopping,Receive
Paid ₹5593.9 to Amazon,Shopping,Spend
UPI payment of ₹5995.28 to Flipkart,Shopping,Spend
Credited ₹6589.05 from Domino's,Restaurants,Receive
Debited ₹581.74 at Wipro,Paycheck,Spend
Received ₹6876.34 from Society,Rent,Receive
Debited ₹1735.17 at KFC,Restaurants,Spend
Debited ₹4942.91 at Amazon,Shopping,Spend
Received ₹5581.47 from Gas Agency,Utilities,Receive
Credited ₹8997.31 from Myntra,Shopping,Receive
Debited ₹2674.49 at Landlord,Rent,Spend
Paid ₹4603.75 to Myntra,Shopping,Spend
Debited ₹988.41 at Flatmate,Rent,Spend
Credited ₹6423.14 from Swiggy,Restaurants,Receive
Credited ₹5045.26 from Flatmate,Rent,Receive
UPI payment of ₹6620.93 to Wipro,Paycheck,Spend
Received ₹7041.95 from Flatmate,Rent,Receive
UPI payment of ₹6783.17 to Society,Rent,Spend
Credited ₹6516.95 from Amazon,Shopping,Receive
Paid ₹757.62 to Electric Board,Utilities,Spend
Debited ₹476.61 at Flatmate,Rent,Spend
UPI payment of ₹2291.28 to Society,Rent,Spend
Credited ₹9074.63 from Society,Rent,Receive
UPI payment of ₹3857.5 to Water Dept,Utilities,Spend
Paid ₹1543.12 to Gas Agency,Utilities,Spend
UPI payment of ₹7654.03 to Amazon,Shopping,Spend
Paid ₹649.28 to Infosys,Paycheck,Spend
UPI payment of ₹9486.67 to TCS,Paycheck,Spend
Debited ₹7513.17 at Gas Agency,Utilities,Spend
Received ₹4052.6 from Landlord,Rent,Receive
Paid ₹5036.72 to Water Dept,Utilities,Spend
Paid ₹918.22 to Water Dept,Utilities,Spend
Debited ₹3210.96 at Water Dept,Utilities,Spend
Paid ₹9794.4 to KFC,Restaurants,Spend
₹3895.11 received via UPI from Society,Rent,Receive
UPI payment of ₹556.86 to Domino's,Restaurants,Spend
